epoch,step,train_acc:,train_loss:
0,49,0.53125,1.012829303741455
0,99,0.59375,0.9701516032218933
1,149,0.5625,0.982610285282135
1,199,0.75,0.8056636452674866
2,249,0.625,0.8995876312255859
2,299,0.625,0.9084224104881287
3,349,0.53125,1.0185614824295044
3,399,0.46875,1.0475126504898071
3,449,0.5,1.0141929388046265
4,499,0.625,0.8581869602203369
4,549,0.625,0.7816562056541443
5,599,0.6875,0.6225351691246033
5,649,0.5,0.8809302449226379
6,699,0.78125,0.5380871295928955
6,749,0.84375,0.5688984990119934
7,799,0.65625,0.7869845032691956
7,849,0.90625,0.4486437737941742
7,899,0.75,0.5709375739097595
8,949,0.78125,0.5627870559692383
8,999,0.65625,0.5681988596916199
9,1049,0.75,0.5347185730934143
9,1099,0.75,0.5679507255554199
10,1149,0.90625,0.2284926176071167
10,1199,0.71875,0.7724553942680359
11,1249,0.84375,0.3961159586906433
11,1299,0.90625,0.2781476676464081
11,1349,0.84375,0.5522213578224182
12,1399,0.78125,0.4264214336872101
12,1449,0.78125,0.5540511012077332
13,1499,0.875,0.26214730739593506
13,1549,0.90625,0.21573211252689362
14,1599,0.84375,0.39149367809295654
14,1649,0.90625,0.24739153683185577
15,1699,0.9375,0.17170746624469757
15,1749,0.875,0.33797457814216614
15,1799,0.90625,0.2542679011821747
16,1849,0.9375,0.1680414080619812
16,1899,0.90625,0.18220825493335724
17,1949,0.96875,0.13514767587184906
17,1999,0.9375,0.12869688868522644
18,2049,0.96875,0.09237917512655258
18,2099,1.0,0.07650724053382874
19,2149,0.9375,0.1689906120300293
19,2199,0.90625,0.26859161257743835
19,2249,0.9375,0.11449255794286728
